drugbank_target_id,guideto_target_id
Q9UKV0,2660
Q9UKV0,2661
Q9Z2V5,2618
Q9BY41,2619
Q9UKV0,2620
Q9ERH7,2033
P68431,2028
Q9ERH7,2034
P15428,1384
O60760,1381
P01112,2822
Q9ERH7,2035
P07306,262
P97292,263
P56207,746
Q9H3N8,265
A0A0A1C3I2,639
Q96L73,264
P26439,2622
P80365,2763
Q01581,638
Q7TQP3,126
P80365,3143
Q9UNW8,128
P35412,86
Q80UC8,130
Q7Z601,132
P51810,203
Q3U507,145
Q6UWK7,87
O15218,146
P37059,3094
Q13304,88
P32249,81
Q8K1Z6,89
Q15760,90
O75388,99
Q9UPC5,101
O00270,98
Q9HC97,102
O15354,103
O60883,104
Q5U431,105
P35413,83
P0C5J4,108
P46093,84
Q9Y2T6,109
Q15743,114
Q9BZJ6,112
Q6YNI2,85
Q6X632,115
Q9NYM4,119
Q9NQS5,120
Q9BY21,122
Q9EPB7,123
A2ARI4,147
Q9HBX8,149
O75473,148
P01854,2741
Q57573,1463
Q8TDS7,152
Q96LB2,156
Q96LB1,157
P12526,150
Q6ZQW0,2829
P35228,1250
Q6ZQW0,3019
Q08881,2046
Q02083,1402
Q8BH82,1398
O94760,1247
Q8T6T2,2624
Q92835,1455
Q14164,2040
O14920,2039
Q14642,1453
O15357,1459
P14735,2371
P08069,1800
Q9WTL4,1802
P24547,2625
P23229,2578
P23229,2577
P23229,2580
P23229,2770
P23229,2581
P23229,2799
P23229,2579
P23229,2582
P23229,2583
Q60751,1801
H2R6C3,2444
P08648,2453
B0FYY4,2459
Q13418,2041
P17181,1898
P05106,2457
P20591,1723
P17181,1899
B0FYY4,2462
P17181,1904
Q08334,1900
P09055,2460
Q64385,2311
P42701,2292
Q13261,2302
Q8NAC3,2294
Q8K4C5,2296
O95256,1908
Q08334,1727
Q96F46,1738
Q9Y616,2042
Q9Y616,2044
Q9NWZ3,2045
Q9UHF4,1901
Q9HB29,1736
Q9HBE5,2304
Q13261,1702
Q969J5,1902
Q969J5,1903
Q9H293,2295
Q6UWB1,2316
Q5VWK5,2293
P14784,2297
Q8NI17,2312
Q8NI17,1710
P14719,1906
Q9UBH0,1907
P26952,2307
P14784,1696
P14784,1695
P14719,1705
P27930,1905
Q01344,2308
P24394,1697
P08887,2310
Q9UBH0,1706
P08887,1708
P16871,2300
Q01113,2301
O00398,165
P29994,345
P16382,2299
P24394,2298
P16871,1698
Q9TU34,743
P23677,1447
Q14571,744
Q63269,745
P27987,1448
P61615,646
Q5QD16,168
O14804,170
P59538,674
Q9NYW4,662
P52333,2047
P52333,2048
Q96DU7,1449
P00755,2865
P52333,2049
P00755,2379
Q61759,2866
P00756,2373
P36369,2372
Q61759,2374
P00756,2375
P15948,2376
P00756,2378
P00756,2377
Q63633,971
Q63633,972
Q63633,973
Q9UP95,974
P55014,968
Q8K9I1,318
Q15849,983
Q6RZZ9,2788
Q15726,266
P10721,1805
P01116,2824
C3VPM9,521
R4R1T7,527
P35968,1813
O95069,514
Q14145,2757
A0A0B6VPR3,517
Q8AYS8,380
Q9EQR3,381
Q9H2S1,382
P70605,383
P13612,2443
O15554,384
O54982,387
P63252,430
Q14500,431
P48048,429
P52190,432
Q9UNX9,433
P48549,434
P48542,435
P48544,437
Q9JM63,438
Q63511,436
Q9NPI9,440
O88932,439
Q14654,442
Q15842,441
O60928,443
Q8NCM2,571
Q60603,570
O35219,572
P16388,538
O54853,573
O54852,574
Q96L42,575
P63142,539
Q9ULD8,576
P15384,540
Q61762,542
P22459,541
P17658,543
Q17ST2,544
Q16322,545
P15387,546
Q63099,547
P15388,548
P22462,549
Q63959,550
Q9NSA2,552
Q8R1C0,551
Q63881,553
Q62897,554
P51787,560
O43526,561
P56696,563
O43525,562
O15229,2886
Q9NR82,564
Q61790,2932
P48449,2434
Q9NS86,3082
P06239,2053
O89017,2380
O15243,1712
B5KFA0,1271
P00727,1569
Q9NRM7,1516
P42703,2314
Q9TZM3,2059
P29376,1838
Q16873,1391
P22888,254
P09960,1395
P11150,2591
O00482,633
Q5BIS6,602
Q5BIS6,601
Q05469,2593
P61793,272
Q9HBW0,273
Q9UBY5,274
Q99677,94
Q9H1C0,124
P43657,163
P41222,1380
Q54XS1,1240
Q54XS1,1241
P90925,1242
Q54XS1,1243
Q9Y6Y9,2890
P01374,1872
P12931,2060
Q92831,2737
Q92830,2664
Q01650,896
Q9H7Z6,2668
P29375,2669
O75164,2671
Q9Y4C1,2673
O75164,2675
Q9H3R0,2677
B2RXH2,2679
P29375,2680
Q9UGL1,2681
P41229,2682
O15550,2684
O15054,2685
Q6ZMT4,2686
Q9NQR1,2704
Q4FZB7,2717
Q9Y4K0,3097
Q04912,1816
Q86Y97,2718
O95822,1275
Q9UDY8,2983
O43451,2627
Q9Y4K0,2853
P63085,2094
Q9BUB5,2104
P53779,2095
Q8IW41,2096
Q86VL8,1217
Q14680,2102
Q9HBH9,2105
A0A1E7IBJ5,709
Q99705,280
Q969V1,281
Q01726,282
Q07812,2847
Q01718,283
P41968,284
P32245,285
P33032,286
P05412,3136
P42345,2109
P43121,2988
Q12866,1837
Q9HAU8,1572
Q9HAU8,1573
P08581,1815
Q03426,640
P35363,290
Q96L34,2097
Q96L34,2099
P08235,626
Q8N4C8,2103
Q14703,2381
P27448,1512
P53007,1051
O95563,3022
O95140,3131
P31167,1062
O95563,3023
P53779,1498
P63085,1495
Q15759,1500
P53778,1501
O15264,1502
Q16539,1499
Q8TD08,2090
Q9NYL2,1494
Q24324,2093
P45983,1496
P45984,1497
P63085,2062
Q9NYL2,2063
Q9NYL2,2064
O08911,2067
Q9NYL2,2065
Q99683,2066
Q9NYL2,2068
P63085,2069
Q9NYL2,2071
P53778,2072
P53779,2070
O15264,2073
Q16539,2074
O80396,2076
Q9NYL2,2080
Q9NYL2,2078
Q9NYL2,2077
O08911,2081
Q12851,2083
Q9NYL2,2082
P45984,2084
P03956,1628
P09238,1634
P24347,1635
P39900,1636
P45452,1637
P50281,1638
P51511,1639
P51512,1640
Q9ULZ9,1641
P08253,1629
Q9NPA2,1647
Q9NRE1,1648
P08254,1630
P22894,1632
P50280,1631
P14780,1633
Q9NYL2,2088
P28321,1399
Q8N695,988
P27338,2490
P21397,2489
Q9NYL2,2087
Q9NYL2,2089
P36021,990
O14684,1377
Q9UBU3,297
Q9N0A4,1378
Q9NYL2,2086
Q9D2Y4,2106
I6X8D2,2950
P50281,287
Q9VG55,288
Q5I0E9,1216
P08485,16
P05164,2789
Q61006,1847
P08912,17
Q8K9I1,319
P55017,970
P20309,15
P06821,14
P11229,13
Q9NRD8,3001
P35498,578
Q9JHI8,3004
P08104,580
Q99250,579
Q8NFA2,3005
P35499,581
Q9UQD0,583
Q14524,582
Q15858,584
Q62968,585
Q9UI33,586
Q86YT5,981
O14931,3141
P17342,1749
Q15746,1553
Q15746,1552
Q7Z628,926
P29476,1251
P35739,1888
O14786,2998
P08473,1611
P43144,470
P04629,1817
Q16620,1819
P04629,1818
O54949,2125
P43144,462
P43144,463
Q9UHE5,3144
P43144,466
P43144,465
P43144,464
P43144,467
P43144,752
P43144,468
P43144,469
P43144,476
Q8TD19,2114
Q8TD19,2116
Q8TD19,2117
Q9ES70,2121
P51956,2118
Q8TD19,2122
P25103,360
P21452,361
Q2LKU9,1768
Q96P20,1770
P29371,362
Q9GZQ4,299
Q9Y2X3,320
P48145,303
P48146,304
Q9Y5X5,301
Q9GZQ6,300
P10041,302
P01111,2823
Q9BY67,3112
